deep,light,rem,wake
105,245,83,75
63,247,13,62
41,248,90,57
62,144,40,28
75,250,83,50
75,254,43,59
87,297,58,63
62,202,64,48
121,248,94,57
73,225,70,47
93,197,71,33
42,168,62,30
79,233,20,52
65,166,60,40
70,232,58,65
59,141,22,28
105,301,79,67
5,133,52,20
73,251,55,46
90,248,50,51
6,160,34,18
57,206,59,44
71,171,79,52
77,238,124,45
43,169,76,25
105,248,121,51
28,175,41,41
65,274,53,57
48,230,5,39
43,171,52,36
73,199,74,46
69,123,74,36
36,176,46,46
100,232,86,40
84,250,98,53
39,197,83,33
50,222,0,39
35,181,47,30
70,283,51,47
68,248,40,88
103,297,91,79
23,106,35,19
35,275,37,53
47,155,57,50
84,223,90,48
57,282,61,29
138,195,107,37
66,237,85,28
42,87,71,13
19,103,43,16
24,212,78,51
64,218,84,44
60,246,79,45
44,120,54,18
95,219,99,37
51,166,43,35
51,165,60,14
61,163,70,52
85,187,41,32
92,255,81,52
58,143,56,15
61,220,90,44
48,219,45,29
60,250,102,47
65,245,45,54
18,163,17,22
47,99,34,20
51,298,72,29
29,210,48,16
76,238,93,40
43,88,55,17
21,149,43,26
60,190,105,42
56,317,139,65
34,310,80,56
65,231,35,34
61,252,75,34
82,219,103,54
75,168,88,45
60,214,64,42
33,123,51,16
41,177,58,28
46,153,50,28
63,248,67,45
126,194,105,40
106,321,117,72
53,327,70,61
43,111,56,28
62,175,90,32
77,262,76,50
33,211,76,29
47,215,54,41
0,0,0,0
70,147,78,24
115,210,76,43
36,169,42,37
66,288,67,44
68,269,117,65
48,224,79,45
66,260,84,36
63,209,89,28
43,188,98,14
59,350,111,44
56,147,79,19
90,282,103,40
63,165,81,20
68,261,122,66
32,248,99,38
46,247,80,25
92,269,91,52
38,147,46,27
52,306,60,53
76,272,98,37
51,211,86,28
54,283,87,41
60,274,45,32
82,149,88,33
43,124,41,21
101,279,107,52
70,225,94,35
48,188,64,18
32,214,32,47
34,208,28,20
32,216,88,29
60,272,104,41
79,198,97,30
48,181,95,29
59,214,59,38
45,311,68,60
65,146,38,29
111,268,106,42
49,169,58,40
90,302,93,49
41,149,88,26
30,244,98,58
43,124,17,18
55,204,39,62
60,132,93,35
64,284,102,51
52,250,130,35
48,216,100,32
82,188,56,26
92,297,105,44
35,138,53,30
14,196,63,39
44,177,37,62
68,292,78,42
46,154,93,21
55,234,90,36
82,260,104,45
25,180,28,60
37,164,44,42
48,254,85,30
72,202,103,36
63,204,99,22
50,143,65,43
68,285,72,54
46,198,90,40
70,182,77,30
62,212,92,38
27,248,74,64
23,266,60,37
36,227,93,42
53,317,97,37
60,287,90,84
58,186,107,19
88,312,138,50
65,127,50,21
48,333,112,48
74,178,84,28
74,335,86,52
54,184,75,24
